================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=on, v=1, w=-0.006576607159839884, v*w=-0.006576607159839884
f=ahigh, v=1, w=-0.02287440229945201, v*w=-0.02287440229945201
f=mountain., v=1, w=-0.02346544690039884, v*w=-0.02346544690039884
f=trickon, v=1, w=-0.03099616357732522, v*w=-0.03099616357732522
f=man, v=1, w=-0.03717188463081698, v*w=-0.03717188463081698
f=personperforming, v=1, w=-0.046183594725463, v*w=-0.046183594725463
f=isbeating, v=1, w=-0.05699746259500813, v*w=-0.05699746259500813
f=performing, v=1, w=-0.05859102461080268, v*w=-0.05859102461080268
f=asnowboarding, v=2, w=-0.035056115928581426, v*w=-0.07011223185716285
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=hisfriend, v=1, w=-0.127785801375144, v*w=-0.127785801375144
f=race, v=1, w=-0.15624526463535246, v*w=-0.15624526463535246
f=a, v=3, w=-0.05768615072059646, v*w=-0.1730584521617894
f=race., v=1, w=-0.18988426587288673, v*w=-0.18988426587288673
f=high, v=1, w=-0.33382241453523104, v*w=-0.33382241453523104
f=his, v=1, w=-0.41268421666638866, v*w=-0.41268421666638866
f=friend, v=1, w=-0.5051515923988577, v*w=-0.5051515923988577
================================================================================
P: A biker wearing a white t-shirt is jumping over dirt hills .
H: A person jumps over hills with his bike .
label=1, predicted=1, correct
f=person, v=1, w=0.31373370693429253, v*w=0.31373370693429253
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=bike., v=1, w=0.21634522860752134, v*w=0.21634522860752134
f=jumpingover, v=1, w=0.20235595308523066, v*w=0.20235595308523066
f=Aperson, v=1, w=0.18744842925686842, v*w=0.18744842925686842
f=jumps, v=1, w=0.18549424952653853, v*w=0.18549424952653853
f=wearinga, v=1, w=0.1767549459194831, v*w=0.1767549459194831
f=jumping, v=1, w=0.13945880119595033, v*w=0.13945880119595033
f=jumpsover, v=1, w=0.09269295385684027, v*w=0.09269295385684027
f=dirt, v=1, w=0.08266518139008876, v*w=0.08266518139008876
f=t-shirtis, v=1, w=0.0811377467754585, v*w=0.0811377467754585
f=hills, v=2, w=0.030447350150642746, v*w=0.06089470030128549
f=hills., v=1, w=0.057867239152289, v*w=0.057867239152289
f=white, v=1, w=0.04688483943954106, v*w=0.04688483943954106
f=isjumping, v=1, w=0.010318816529793657, v*w=0.010318816529793657
f=bike, v=1, w=0.006304639426452001, v*w=0.006304639426452001
f=bikerwearing, v=1, w=0, v*w=0
f=overdirt, v=1, w=0, v*w=0
f=dirthills, v=1, w=0, v*w=0
f=personjumps, v=1, w=0, v*w=0
f=overhills, v=1, w=0, v*w=0
f=hillswith, v=1, w=0, v*w=0
f=with, v=1, w=-0.03837810488855693, v*w=-0.03837810488855693
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=hisbike, v=1, w=-0.0626976749076236, v*w=-0.0626976749076236
f=wearing, v=1, w=-0.08591864844088887, v*w=-0.08591864844088887
f=withhis, v=1, w=-0.09318521177000179, v*w=-0.09318521177000179
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=awhite, v=1, w=-0.12322572133035326, v*w=-0.12322572133035326
f=whitet-shirt, v=1, w=-0.154686450178903, v*w=-0.154686450178903
f=t-shirt, v=1, w=-0.1792288857094685, v*w=-0.1792288857094685
f=Abiker, v=1, w=-0.18416974163963787, v*w=-0.18416974163963787
f=his, v=1, w=-0.41268421666638866, v*w=-0.41268421666638866
f=biker, v=1, w=-0.4338102360912801, v*w=-0.4338102360912801
f=over, v=2, w=-0.2219186995193103, v*w=-0.4438373990386206
================================================================================
P: A float depicting religious imagery .
H: A float with icons .
label=1, predicted=1, correct
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=imagery, v=1, w=0.059729531397860705, v*w=0.059729531397860705
f=imagery., v=1, w=0.022218264692773743, v*w=0.022218264692773743
f=depicting, v=1, w=0.009145862752789809, v*w=0.009145862752789809
f=icons, v=1, w=0, v*w=0
f=Afloat, v=2, w=0, v*w=0
f=floatdepicting, v=1, w=0, v*w=0
f=depictingreligious, v=1, w=0, v*w=0
f=religiousimagery, v=1, w=0, v*w=0
f=floatwith, v=1, w=0, v*w=0
f=withicons, v=1, w=0, v*w=0
f=icons., v=1, w=0, v*w=0
f=with, v=1, w=-0.03837810488855693, v*w=-0.03837810488855693
f=religious, v=1, w=-0.03887898091021623, v*w=-0.03887898091021623
f=float, v=2, w=-0.08961454553698248, v*w=-0.17922909107396495
================================================================================
P: A man in yellow , white , and blue bicycle clothing and helmet grimaces as he rides his bicycle .
H: A man is riding a bicycle .
label=1, predicted=1, correct
f=Aman, v=2, w=0.21805720288299957, v*w=0.43611440576599914
f=abicycle, v=1, w=0.3146797596483343, v*w=0.3146797596483343
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=clothing, v=1, w=0.26915899933075454, v*w=0.26915899933075454
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=rideshis, v=1, w=0.22118235224416108, v*w=0.22118235224416108
f=ashe, v=1, w=0.16087133280170546, v*w=0.16087133280170546
f=yellow,, v=1, w=0.14914515691917413, v*w=0.14914515691917413
f=clothingand, v=1, w=0.14519746897309901, v*w=0.14519746897309901
f=,and, v=1, w=0.12042251356907761, v*w=0.12042251356907761
f=yellow, v=1, w=0.10439767238302398, v*w=0.10439767238302398
f=bicycle., v=2, w=0.040570173728839094, v*w=0.08114034745767819
f=isriding, v=1, w=0.08095628308510015, v*w=0.08095628308510015
f=white,, v=1, w=0.0469687797982722, v*w=0.0469687797982722
f=white, v=1, w=0.04688483943954106, v*w=0.04688483943954106
f=bicycle, v=3, w=0.014363884454950942, v*w=0.04309165336485282
f=manis, v=1, w=0.03602058222876871, v*w=0.03602058222876871
f=rides, v=1, w=0.032571713090927566, v*w=0.032571713090927566
f=riding, v=1, w=0.029977842013145312, v*w=0.029977842013145312
f=blue, v=1, w=0.024403217777692394, v*w=0.024403217777692394
f=manin, v=1, w=0.009941214264901212, v*w=0.009941214264901212
f=grimaces, v=1, w=0, v*w=0
f=bluebicycle, v=1, w=0, v*w=0
f=bicycleclothing, v=1, w=0, v*w=0
f=helmetgrimaces, v=1, w=0, v*w=0
f=grimacesas, v=1, w=0, v*w=0
f=andblue, v=1, w=-0.009965393922349934, v*w=-0.009965393922349934
f=helmet, v=1, w=-0.01511401102301628, v*w=-0.01511401102301628
f=as, v=1, w=-0.02545669387318382, v*w=-0.02545669387318382
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=ridinga, v=1, w=-0.06103186075615806, v*w=-0.06103186075615806
f=,, v=2, w=-0.031041731553333035, v*w=-0.06208346310666607
f=,white, v=1, w=-0.06506457581005898, v*w=-0.06506457581005898
f=man, v=2, w=-0.03717188463081698, v*w=-0.07434376926163395
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=herides, v=1, w=-0.10552001269850637, v*w=-0.10552001269850637
f=andhelmet, v=1, w=-0.14278799004184348, v*w=-0.14278799004184348
f=and, v=2, w=-0.07838795061913068, v*w=-0.15677590123826135
f=inyellow, v=1, w=-0.19602922447272778, v*w=-0.19602922447272778
f=hisbicycle, v=1, w=-0.24204542676267182, v*w=-0.24204542676267182
f=he, v=1, w=-0.2866833937325822, v*w=-0.2866833937325822
f=his, v=1, w=-0.41268421666638866, v*w=-0.41268421666638866
================================================================================
P: A group of girls ride an ATV .
H: Girls ride ATVs .
label=1, predicted=1, correct
f=ride, v=2, w=0.22356597145411414, v*w=0.4471319429082283
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=group, v=1, w=0.14420728303244848, v*w=0.14420728303244848
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=ofgirls, v=1, w=0.13182691129529736, v*w=0.13182691129529736
f=ATV, v=1, w=0.09303530778310264, v*w=0.09303530778310264
f=Girls, v=1, w=0.08612281929788575, v*w=0.08612281929788575
f=girls, v=1, w=0.07702266487307059, v*w=0.07702266487307059
f=girlsride, v=1, w=0.040860651879595804, v*w=0.040860651879595804
f=anATV, v=1, w=0.026642579164251595, v*w=0.026642579164251595
f=ATVs, v=1, w=0, v*w=0
f=ridean, v=1, w=0, v*w=0
f=ATV., v=1, w=0, v*w=0
f=Girlsride, v=1, w=0, v*w=0
f=rideATVs, v=1, w=0, v*w=0
f=ATVs., v=1, w=0, v*w=0
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=Agroup, v=1, w=-0.044792406511966865, v*w=-0.044792406511966865
f=an, v=1, w=-0.06087247582272282, v*w=-0.06087247582272282
f=groupof, v=1, w=-0.1980543128086121, v*w=-0.1980543128086121
================================================================================
P: A schoolgirl wearing a white dress , blue-striped knee socks , a blue tie , and braids , smiles in front of a line of her classmates .
H: A line of schoolchildren preparing to board a bus after their field trip .
label=0, predicted=0, correct
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=smiles, v=1, w=0.24607806496602355, v*w=0.24607806496602355
f=line, v=2, w=0.10133925622889094, v*w=0.20267851245778187
f=infront, v=1, w=0.19798494554347312, v*w=0.19798494554347312
f=wearinga, v=1, w=0.1767549459194831, v*w=0.1767549459194831
f=frontof, v=1, w=0.12611690611735155, v*w=0.12611690611735155
f=,and, v=1, w=0.12042251356907761, v*w=0.12042251356907761
f=aline, v=1, w=0.11480659373523716, v*w=0.11480659373523716
f=knee, v=1, w=0.09987979412842435, v*w=0.09987979412842435
f=herclassmates, v=1, w=0.08415449009352362, v*w=0.08415449009352362
f=ablue, v=1, w=0.074614746381672, v*w=0.074614746381672
f=ofa, v=1, w=0.06322462541038039, v*w=0.06322462541038039
f=,smiles, v=1, w=0.0629406130737396, v*w=0.0629406130737396
f=white, v=1, w=0.04688483943954106, v*w=0.04688483943954106
f=Aline, v=1, w=0.04582987755770838, v*w=0.04582987755770838
f=classmates, v=1, w=0.03409699838144062, v*w=0.03409699838144062
f=dress, v=1, w=0.031548482189904525, v*w=0.031548482189904525
f=blue, v=1, w=0.024403217777692394, v*w=0.024403217777692394
f=boarda, v=1, w=0.020335422707682974, v*w=0.020335422707682974
f=toboard, v=1, w=0.005432668407974312, v*w=0.005432668407974312
f=dress,, v=1, w=0.003281014589472646, v*w=0.003281014589472646
f=blue-striped, v=1, w=0, v*w=0
f=braids, v=1, w=0, v*w=0
f=schoolchildren, v=1, w=0, v*w=0
f=Aschoolgirl, v=1, w=0, v*w=0
f=schoolgirlwearing, v=1, w=0, v*w=0
f=,blue-striped, v=1, w=0, v*w=0
f=blue-stripedknee, v=1, w=0, v*w=0
f=kneesocks, v=1, w=0, v*w=0
f=socks,, v=1, w=0, v*w=0
f=bluetie, v=1, w=0, v*w=0
f=andbraids, v=1, w=0, v*w=0
f=braids,, v=1, w=0, v*w=0
f=classmates., v=1, w=0, v*w=0
f=ofschoolchildren, v=1, w=0, v*w=0
f=schoolchildrenpreparing, v=1, w=0, v*w=0
f=busafter, v=1, w=0, v*w=0
f=theirfield, v=1, w=0, v*w=0
f=tie,, v=1, w=-0.016123038427043077, v*w=-0.016123038427043077
f=aftertheir, v=1, w=-0.020093019502590757, v*w=-0.020093019502590757
f=abus, v=1, w=-0.020763656889259293, v*w=-0.020763656889259293
f=schoolgirl, v=1, w=-0.021832453308950596, v*w=-0.021832453308950596
f=tie, v=1, w=-0.026422472292060493, v*w=-0.026422472292060493
f=fieldtrip, v=1, w=-0.030987704641507637, v*w=-0.030987704641507637
f=smilesin, v=1, w=-0.04666536233951539, v*w=-0.04666536233951539
f=and, v=1, w=-0.07838795061913068, v*w=-0.07838795061913068
f=wearing, v=1, w=-0.08591864844088887, v*w=-0.08591864844088887
f=socks, v=1, w=-0.09129773369303693, v*w=-0.09129773369303693
f=preparingto, v=1, w=-0.09443606253216517, v*w=-0.09443606253216517
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=,a, v=1, w=-0.09689722609935372, v*w=-0.09689722609935372
f=field, v=1, w=-0.11351889130477621, v*w=-0.11351889130477621
f=awhite, v=1, w=-0.12322572133035326, v*w=-0.12322572133035326
f=,, v=4, w=-0.031041731553333035, v*w=-0.12416692621333214
f=preparing, v=1, w=-0.12980782039194141, v*w=-0.12980782039194141
f=of, v=3, w=-0.043646278307833394, v*w=-0.13093883492350017
f=ofher, v=1, w=-0.13657942222926298, v*w=-0.13657942222926298
f=bus, v=1, w=-0.13831339271904675, v*w=-0.13831339271904675
f=trip., v=1, w=-0.15433044496265558, v*w=-0.15433044496265558
f=their, v=1, w=-0.16579930423755876, v*w=-0.16579930423755876
f=lineof, v=2, w=-0.0853633104022837, v*w=-0.1707266208045674
f=front, v=1, w=-0.17112468492060498, v*w=-0.17112468492060498
f=whitedress, v=1, w=-0.18429202259544594, v*w=-0.18429202259544594
f=board, v=1, w=-0.21584515352098213, v*w=-0.21584515352098213
f=a, v=4, w=-0.05768615072059646, v*w=-0.23074460288238585
f=her, v=1, w=-0.24551471204742525, v*w=-0.24551471204742525
f=trip, v=1, w=-0.3274365861121036, v*w=-0.3274365861121036
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
f=after, v=1, w=-0.5431228139118847, v*w=-0.5431228139118847
================================================================================
P: A boy plays in the surf .
H: The boy is wearing red trunks .
label=0, predicted=1, wrong
f=iswearing, v=1, w=0.4047507976576934, v*w=0.4047507976576934
f=wearingred, v=1, w=0.3264739733973603, v*w=0.3264739733973603
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=boy, v=2, w=0.12684095568370002, v*w=0.25368191136740004
f=Theboy, v=1, w=0.17243045088338413, v*w=0.17243045088338413
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=trunks, v=1, w=0.12408986680464784, v*w=0.12408986680464784
f=boyplays, v=1, w=0.09781276973067934, v*w=0.09781276973067934
f=redtrunks, v=1, w=0.08389272610003015, v*w=0.08389272610003015
f=boyis, v=1, w=0.0771808868798584, v*w=0.0771808868798584
f=surf., v=1, w=0.05205262758883745, v*w=0.05205262758883745
f=trunks., v=1, w=0.04322987022905524, v*w=0.04322987022905524
f=surf, v=1, w=0.04069571879582791, v*w=0.04069571879582791
f=thesurf, v=1, w=0.02359523471570789, v*w=0.02359523471570789
f=red, v=1, w=-0.0110336160563934, v*w=-0.0110336160563934
f=Aboy, v=1, w=-0.015180046233392166, v*w=-0.015180046233392166
f=inthe, v=1, w=-0.04945189044635606, v*w=-0.04945189044635606
f=wearing, v=1, w=-0.08591864844088887, v*w=-0.08591864844088887
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=playsin, v=1, w=-0.15597139249385164, v*w=-0.15597139249385164
f=plays, v=1, w=-0.1576056959821563, v*w=-0.1576056959821563
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
================================================================================
P: A man is sitting outside next to fruit .
H: A man takes a break next to his freshly picked fruit .
label=0, predicted=0, correct
f=nextto, v=2, w=0.26253744494217535, v*w=0.5250748898843507
f=issitting, v=1, w=0.4606623778558537, v*w=0.4606623778558537
f=Aman, v=2, w=0.21805720288299957, v*w=0.43611440576599914
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=next, v=2, w=0.12210191439101813, v*w=0.24420382878203625
f=outside, v=1, w=0.166993073516632, v*w=0.166993073516632
f=sitting, v=1, w=0.1432999207861682, v*w=0.1432999207861682
f=abreak, v=1, w=0.09477065331139795, v*w=0.09477065331139795
f=freshly, v=1, w=0.055673269745825475, v*w=0.055673269745825475
f=picked, v=1, w=0.05054665491326574, v*w=0.05054665491326574
f=manis, v=1, w=0.03602058222876871, v*w=0.03602058222876871
f=tofruit, v=1, w=0, v*w=0
f=breaknext, v=1, w=0, v*w=0
f=hisfreshly, v=1, w=0, v*w=0
f=freshlypicked, v=1, w=0, v*w=0
f=pickedfruit, v=1, w=0, v*w=0
f=tohis, v=1, w=-0.003593817251554658, v*w=-0.003593817251554658
f=takes, v=1, w=-0.03552202107961154, v*w=-0.03552202107961154
f=outsidenext, v=1, w=-0.053226223340448416, v*w=-0.053226223340448416
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=man, v=2, w=-0.03717188463081698, v*w=-0.07434376926163395
f=sittingoutside, v=1, w=-0.09485787148107935, v*w=-0.09485787148107935
f=mantakes, v=1, w=-0.09627091289621507, v*w=-0.09627091289621507
f=break, v=1, w=-0.09997371763345433, v*w=-0.09997371763345433
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=takesa, v=1, w=-0.19225680811245216, v*w=-0.19225680811245216
f=fruit., v=2, w=-0.1075564920341349, v*w=-0.2151129840682698
f=his, v=1, w=-0.41268421666638866, v*w=-0.41268421666638866
f=fruit, v=2, w=-0.2146002938519927, v*w=-0.4292005877039854
f=to, v=2, w=-0.48295348356315804, v*w=-0.9659069671263161
================================================================================
P: A person on a brown horse in a prairie in front of tall mountains .
H: The horseback rider is traveling from one ranch to another
label=0, predicted=0, correct
f=personon, v=1, w=0.49824806480885625, v*w=0.49824806480885625
f=person, v=1, w=0.31373370693429253, v*w=0.31373370693429253
f=horse, v=1, w=0.24199648220788467, v*w=0.24199648220788467
f=infront, v=1, w=0.19798494554347312, v*w=0.19798494554347312
f=horseback, v=1, w=0.19077616963009017, v*w=0.19077616963009017
f=Aperson, v=1, w=0.18744842925686842, v*w=0.18744842925686842
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=frontof, v=1, w=0.12611690611735155, v*w=0.12611690611735155
f=mountains., v=1, w=0.10298630736095625, v*w=0.10298630736095625
f=ina, v=1, w=0.1019014453480294, v*w=0.1019014453480294
f=ona, v=1, w=0.038194294468584127, v*w=0.038194294468584127
f=oftall, v=1, w=0.03418063122260594, v*w=0.03418063122260594
f=rider, v=1, w=0.028455607786023976, v*w=0.028455607786023976
f=one, v=1, w=0.002041143672662094, v*w=0.002041143672662094
f=prairie, v=1, w=0, v*w=0
f=aprairie, v=1, w=0, v*w=0
f=prairiein, v=1, w=0, v*w=0
f=tallmountains, v=1, w=0, v*w=0
f=Thehorseback, v=1, w=0, v*w=0
f=horsebackrider, v=1, w=0, v*w=0
f=istraveling, v=1, w=0, v*w=0
f=travelingfrom, v=1, w=0, v*w=0
f=oneranch, v=1, w=0, v*w=0
f=ranchto, v=1, w=0, v*w=0
f=another, v=1, w=-0.006046871106734216, v*w=-0.006046871106734216
f=on, v=1, w=-0.006576607159839884, v*w=-0.006576607159839884
f=horsein, v=1, w=-0.016049941566408005, v*w=-0.016049941566408005
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=ranch, v=1, w=-0.048545490092099026, v*w=-0.048545490092099026
f=fromone, v=1, w=-0.060678631443618646, v*w=-0.060678631443618646
f=brown, v=1, w=-0.07060072788726221, v*w=-0.07060072788726221
f=mountains, v=1, w=-0.07353836444105999, v*w=-0.07353836444105999
f=rideris, v=1, w=-0.07512015954060783, v*w=-0.07512015954060783
f=brownhorse, v=1, w=-0.10124702183239195, v*w=-0.10124702183239195
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=toanother, v=1, w=-0.13653542239258687, v*w=-0.13653542239258687
f=abrown, v=1, w=-0.1567454913834888, v*w=-0.1567454913834888
f=traveling, v=1, w=-0.1570303710209688, v*w=-0.1570303710209688
f=from, v=1, w=-0.1673216980898075, v*w=-0.1673216980898075
f=front, v=1, w=-0.17112468492060498, v*w=-0.17112468492060498
f=in, v=2, w=-0.09509361429859492, v*w=-0.19018722859718984
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
f=tall, v=1, w=-0.7295469951528583, v*w=-0.7295469951528583
================================================================================
P: A brown dog leaps into water from a rock .
H: A dog is outside .
label=1, predicted=1, correct
f=isoutside, v=1, w=0.910232655481486, v*w=0.910232655481486
f=outside., v=1, w=0.5433023646199514, v*w=0.5433023646199514
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=Adog, v=1, w=0.20246290514613044, v*w=0.20246290514613044
f=browndog, v=1, w=0.1912669900843484, v*w=0.1912669900843484
f=rock., v=1, w=0.18277210919380368, v*w=0.18277210919380368
f=outside, v=1, w=0.166993073516632, v*w=0.166993073516632
f=intowater, v=1, w=0.10243524417044145, v*w=0.10243524417044145
f=leaps, v=1, w=0.058086093120915214, v*w=0.058086093120915214
f=waterfrom, v=1, w=0.04107473232076657, v*w=0.04107473232076657
f=dog, v=2, w=0.020170004091730722, v*w=0.040340008183461444
f=froma, v=1, w=0.031986455966818664, v*w=0.031986455966818664
f=leapsinto, v=1, w=0.008767082513659258, v*w=0.008767082513659258
f=water, v=1, w=-0.012095409209399336, v*w=-0.012095409209399336
f=dogleaps, v=1, w=-0.02260680286241039, v*w=-0.02260680286241039
f=dogis, v=1, w=-0.034692328136751854, v*w=-0.034692328136751854
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=brown, v=1, w=-0.07060072788726221, v*w=-0.07060072788726221
f=rock, v=1, w=-0.0810595373225435, v*w=-0.0810595373225435
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=into, v=1, w=-0.1069791450900194, v*w=-0.1069791450900194
f=from, v=1, w=-0.1673216980898075, v*w=-0.1673216980898075
f=arock, v=1, w=-0.17187568488548716, v*w=-0.17187568488548716
f=Abrown, v=1, w=-0.3247174052452887, v*w=-0.3247174052452887
================================================================================
P: A man wearing an apron is smiling at a plate of food .
H: The man is happy by the sight of the food before him .
label=1, predicted=0, wrong
f=bythe, v=1, w=0.3405865014808659, v*w=0.3405865014808659
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=Aman, v=1, w=0.21805720288299957, v*w=0.21805720288299957
f=offood, v=1, w=0.19628802990936, v*w=0.19628802990936
f=smiling, v=1, w=0.15408481003950733, v*w=0.15408481003950733
f=food., v=1, w=0.14813968490542978, v*w=0.14813968490542978
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=Theman, v=1, w=0.12864486868679553, v*w=0.12864486868679553
f=ofthe, v=1, w=0.12742537112500948, v*w=0.12742537112500948
f=by, v=1, w=0.09557419462959665, v*w=0.09557419462959665
f=apron, v=1, w=0.07655932266497868, v*w=0.07655932266497868
f=him, v=1, w=0.05668117526218675, v*w=0.05668117526218675
f=smilingat, v=1, w=0.0439022242669072, v*w=0.0439022242669072
f=thesight, v=1, w=0.043548539051489754, v*w=0.043548539051489754
f=sightof, v=1, w=0.043548539051489754, v*w=0.043548539051489754
f=aplate, v=1, w=0.0390785911646397, v*w=0.0390785911646397
f=manis, v=1, w=0.03602058222876871, v*w=0.03602058222876871
f=sight, v=1, w=0.029396534934467783, v*w=0.029396534934467783
f=plateof, v=1, w=0.016446190252817777, v*w=0.016446190252817777
f=happyby, v=1, w=0, v*w=0
f=foodbefore, v=1, w=0, v*w=0
f=beforehim, v=1, w=0, v*w=0
f=anapron, v=1, w=-0.01014718673707305, v*w=-0.01014718673707305
f=him., v=1, w=-0.011929631843157616, v*w=-0.011929631843157616
f=plate, v=1, w=-0.022386526384174526, v*w=-0.022386526384174526
f=at, v=1, w=-0.023579113361532747, v*w=-0.023579113361532747
f=happy, v=1, w=-0.048093380160572546, v*w=-0.048093380160572546
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=an, v=1, w=-0.06087247582272282, v*w=-0.06087247582272282
f=man, v=2, w=-0.03717188463081698, v*w=-0.07434376926163395
f=wearing, v=1, w=-0.08591864844088887, v*w=-0.08591864844088887
f=food, v=2, w=-0.04354355731401503, v*w=-0.08708711462803007
f=of, v=2, w=-0.043646278307833394, v*w=-0.08729255661566679
f=ata, v=1, w=-0.09965907214342017, v*w=-0.09965907214342017
f=thefood, v=1, w=-0.10773302525519038, v*w=-0.10773302525519038
f=ishappy, v=1, w=-0.10972476666308247, v*w=-0.10972476666308247
f=before, v=1, w=-0.1206458507289583, v*w=-0.1206458507289583
f=manwearing, v=1, w=-0.12108831159439529, v*w=-0.12108831159439529
f=apronis, v=1, w=-0.12177540987008172, v*w=-0.12177540987008172
f=issmiling, v=1, w=-0.15470186315972406, v*w=-0.15470186315972406
f=wearingan, v=1, w=-0.17935713795086883, v*w=-0.17935713795086883
f=is, v=2, w=-0.10426457744737729, v*w=-0.20852915489475457
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
f=the, v=2, w=-0.2428361245146822, v*w=-0.4856722490293644
================================================================================
P: These three men dressed in blue , yellow and white , are playing a sport .
H: The men are playing football .
label=0, predicted=1, wrong
f=areplaying, v=2, w=0.23302499741335359, v*w=0.46604999482670717
f=sport, v=1, w=0.2786045716311524, v*w=0.2786045716311524
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=football, v=1, w=0.23789692306635224, v*w=0.23789692306635224
f=football., v=1, w=0.23218625038042726, v*w=0.23218625038042726
f=mendressed, v=1, w=0.21954301957129102, v*w=0.21954301957129102
f=yellowand, v=1, w=0.21133192072833482, v*w=0.21133192072833482
f=threemen, v=1, w=0.20865399196639256, v*w=0.20865399196639256
f=playinga, v=1, w=0.2012151991962463, v*w=0.2012151991962463
f=dressedin, v=1, w=0.19474226844322115, v*w=0.19474226844322115
f=sport., v=1, w=0.1731686580577612, v*w=0.1731686580577612
f=asport, v=1, w=0.16157514835639844, v*w=0.16157514835639844
f=menare, v=1, w=0.14006107699774673, v*w=0.14006107699774673
f=yellow, v=1, w=0.10439767238302398, v*w=0.10439767238302398
f=,yellow, v=1, w=0.10236941899098043, v*w=0.10236941899098043
f=three, v=1, w=0.08552701887306244, v*w=0.08552701887306244
f=andwhite, v=1, w=0.08026116816552904, v*w=0.08026116816552904
f=dressed, v=1, w=0.06516085376074424, v*w=0.06516085376074424
f=Themen, v=1, w=0.06158159566433336, v*w=0.06158159566433336
f=playingfootball, v=1, w=0.059223451390975464, v*w=0.059223451390975464
f=white,, v=1, w=0.0469687797982722, v*w=0.0469687797982722
f=white, v=1, w=0.04688483943954106, v*w=0.04688483943954106
f=blue, v=1, w=0.024403217777692394, v*w=0.024403217777692394
f=playing, v=2, w=0.0030518931310784337, v*w=0.006103786262156867
f=blue,, v=1, w=-0.015474230954183566, v*w=-0.015474230954183566
f=Thesethree, v=1, w=-0.03813034866870854, v*w=-0.03813034866870854
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=,, v=2, w=-0.031041731553333035, v*w=-0.06208346310666607
f=and, v=1, w=-0.07838795061913068, v*w=-0.07838795061913068
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=inblue, v=1, w=-0.16090996503613117, v*w=-0.16090996503613117
f=men, v=2, w=-0.08858767269030798, v*w=-0.17717534538061597
f=These, v=1, w=-0.27022029932604513, v*w=-0.27022029932604513
f=,are, v=1, w=-0.2884763730450991, v*w=-0.2884763730450991
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
f=are, v=2, w=-0.29381510678573053, v*w=-0.5876302135714611
================================================================================
